"night_no","purple(%)","white(%)","yellow(%)","red(%)","orange(%)","green(%)"
"1",10.5323545360994,20.9093925461797,7.06662961881693,30.4286269095477,21.9664334584535,9.0965629309028
"2",8.42916273695698,7.72881074543786,19.2841941475667,34.3011321259785,19.9936030916243,10.2630971524357
"3",12.3046258375559,0,31.917274173622,24.9402091089773,22.4969689257337,8.34092195411101
"4",7.65514895127607,15.6150343295186,30.9940825296104,14.7965276889494,16.7269076745836,14.2122988260619
"5",10.5996465285954,9.69771456650807,17.9700967860359,31.7151590184893,19.1106868515626,10.9066962488088
"6",14.6217185072026,6.48611413042887,18.7922885886491,29.7817617838538,22.1959564175505,8.12216057231512
"7",16.050510963447,4.16768527750906,18.8429693811244,32.2660084792023,25.1596040146674,3.51322188404984
"8",8.48309922698365,15.3635579729885,27.8764471524372,19.2263349385265,16.8529988584537,12.1975618506105
"9",12.6342239244434,6.36579921019954,16.9566582316517,33.2593034787207,22.1471557137827,8.63685944120199
"10",14.606501433551,0,28.6915216869641,26.9428913582376,23.1949066298451,6.56417889140229
"11",11.1385751277884,12.3007126349797,19.6659073982836,27.8053342045471,22.4268696303341,6.66260100406713
"12",7.46018137631788,15.9161397513899,9.66703181076688,37.7388665140976,6.33862664895273,22.8791538984751
"13",8.26985155963551,12.886894259454,28.5246182107695,17.8365912001886,18.8846333870735,13.5974113828789
"14",9.49627999320719,2.44855581548839,40.5747631843042,19.2976199010631,19.6469765218205,8.53580458411649
"15",6.77587788544829,11.31180245989,0,52.0094649881891,19.9042258141872,9.99862885228538
"16",8.46911334743579,12.5299634921038,14.3112723522058,34.7536308494355,18.2814521604224,11.6545677983967
"17",6.34520361446636,11.5190256985082,39.6535008887551,12.9790144549707,27.0116036806503,2.49165166264929
"18",10.6600678981905,10.7425540724993,31.5032664465315,16.8805933288642,19.0313911559364,11.1821270979781
"19",8.41361522812614,8.13833631987114,20.466308160119,32.5456451934306,15.6262100292571,14.8098850691961
"20",7.51548693250265,17.4404064415418,0.313504624989697,43.8644797224812,18.1771337719518,12.6889885065328
"21",7.82599401412874,17.4517772242607,40.3521387705335,4.69880232634532,17.5494757101787,12.1218119545529
"22",10.3758767502391,8.20736814154869,26.0977293654549,26.6209263075395,24.2414711657196,4.45662826949818
"23",9.22850499426853,8.61429418576423,35.1801844113314,14.140597822866,20.6142451827044,12.2221734030654
"24",7.53839585120556,14.86956831857,7.23904997145055,40.6473310240575,12.8853213808474,16.8203334538691
"25",14.0895581949641,9.41147106109067,11.9635217019956,36.3773836368451,25.8522357808736,2.30582962423087
"26",16.234580485755,4.62638426672459,27.470462204388,19.9620286078959,27.4841582755818,4.22238615965474
"27",10.7786791800214,11.5741815572228,5.7427152208447,42.9310886692807,21.8575094777466,7.11582589488379
"28",9.26474472144107,8.53039646511589,29.6042439335124,21.9141432522578,20.9009710459003,9.78550058177246
"29",10.9703679918009,12.3547431878057,19.8757349703316,27.1176895759334,18.8346859801737,10.8467782939546
"30",10.6712672184123,12.0712923781219,24.8404746510015,20.6635055823523,29.7725512909455,1.98090887916664
"31",9.69997115706196,8.63880770476314,15.2442702896379,35.6154594916556,31.1189710996937,-0.317479742812417
"32",10.0482722096139,7.06064362252664,39.7668847159388,12.9617921786168,21.0667288887569,9.09567838454687
