"","Gender","Height","Weight"
"1","Male",73.847017017515,241.893563180437
"2","Male",68.7819040458903,162.3104725213
"3","Male",74.1101053917849,212.7408555565
"4","Male",71.7309784033377,220.042470303077
"5","Male",69.8817958611153,206.349800623871
"6","Male",67.2530156878065,152.212155757083
"7","Male",68.7850812516616,183.927888604031
"8","Male",68.3485155115879,167.971110489509
"9","Male",67.018949662883,175.92944039571
"10","Male",63.4564939783664,156.399676387112
"11","Male",71.1953822829745,186.604925560358
"12","Male",71.6408051192206,213.741169489411
"13","Male",64.7663291334055,167.127461073476
"14","Male",69.2830700967204,189.446181386738
"15","Male",69.2437322298112,186.434168021239
"16","Male",67.6456197004212,172.186930058117
"17","Male",72.4183166259878,196.028506330482
"18","Male",63.974325721061,172.88347020878
"19","Male",69.6400598997523,185.98395757313
"20","Male",67.9360048540095,182.426648013226
"21","Male",67.9150501938206,174.115929081393
"22","Male",69.4394398680395,197.73142161472
"23","Male",66.1491319608781,149.173566007975
"24","Male",75.2059736142212,228.761780615196
"25","Male",67.8931963386043,162.006651848287
"26","Male",68.1440327982008,192.343976579187
"27","Male",69.0896314289256,184.435174408406
"28","Male",72.8008435165003,206.828189420354
"29","Male",67.4212422817167,175.213922399227
"30","Male",68.4964153568827,154.342638925955
"31","Male",68.6181105502058,187.506843155807
"32","Male",74.0338076216678,212.910225325521
"33","Male",71.5282160355709,195.032243233835
"34","Male",69.1801610995692,205.183621341371
"35","Male",69.577202365402,204.164125484101
"36","Male",70.4009288884762,192.903515074649
"37","Male",69.0761711675356,197.488242598925
"38","Male",67.1935232827228,183.810973232751
"39","Male",65.8073156549306,163.851824878622
"40","Male",64.3041878915595,163.108017147583
"41","Male",67.9743362271967,172.135597406825
"42","Male",72.1894259592134,194.045404898059
"43","Male",65.2703455240394,168.617746204292
"44","Male",66.0901773762725,161.193432596622
"45","Male",67.5103215157138,164.660277264007
"46","Male",70.1047862551571,188.922303151274
"47","Male",68.2518364408672,187.060552163801
