"","time","send","recieve1","receive2","receive3"
"1",0,50,47.8225798061133,47.7192978964893,50.0395821510913
"2",5,50.3141075907813,47.384604806116,47.8253509889599,49.9238877710984
"3",10,50.6279051952931,47.5328698291068,47.9581915949523,49.7845280464582
"4",15,50.9410831331851,47.7404322526482,47.7772073588789,49.8776222144456
"5",20,51.253332335643,47.8259541969613,47.881153053715,49.800175847827
"6",25,51.5643446504023,47.8965176436995,48.0048608827556,49.7769374703079
"7",30,51.8738131458572,48.1564887433355,48.0646785030688,49.7656249235432
"8",35,52.1814324139654,48.1757440041249,47.8611344780976,49.648396179624
"9",40,52.4868988716485,48.4414911660658,47.9126144101757,49.6428928548925
"10",45,52.7899110603923,48.205249795843,48.2922633995781,49.6796182917473
"11",50,53.0901699437495,48.7552371231966,48.1733284965085,49.5786490849338
"12",55,53.3873792024529,48.6006698048335,48.0388118896476,49.4917498800925
"13",60,53.6812455268468,49.1617443546024,48.0445540466377,49.6960586112308
"14",65,53.9714789063478,48.9073573375393,47.9475444062275,49.5074796071528
"15",70,54.2577929156507,49.2093111869806,48.0907142057733,49.3708674339114
"16",75,54.5399049973955,49.3093979279253,48.0448301355102,49.385356999963
"17",80,54.8175367410172,49.8082609764798,48.2567651638688,49.43389962921
"18",85,55.0904141575037,50.1630090711886,48.2184827483967,49.32136161717
"19",90,55.35826794979,49.9198601021511,48.2795218935912,49.3078936957383
"20",95,55.6208337785213,50.1604482990554,48.4948423994011,49.1881571576105
"21",100,55.8778525229247,50.3930053920251,48.3011262856785,49.2618231282342
"22",105,56.1290705365298,50.7555323249807,48.217273113794,49.1416862837191
"23",110,56.3742398974869,51.1701633149576,48.3242366646535,49.2459638858139
"24",115,56.6131186532365,51.4532032141116,48.2835939437313,49.1111187625967
"25",120,56.8454710592869,51.6261022736355,48.2591155175752,49.1855882945759
"26",125,57.0710678118655,51.0902484340171,48.5305785768799,49.1307054367072
"27",130,57.2896862742141,51.7668840577312,48.4775127368111,49.0908597243536
"28",135,57.5011106963046,51.8115447566414,48.5565183617948,48.9526563558678
"29",140,57.7051324277579,51.7105500606135,48.7019096710795,48.9436480924689
"30",145,57.9015501237569,51.8887870664771,48.4667982071944,49.0208655007507
"31",150,58.0901699437495,51.9251854401271,48.561352766467,48.8607769737107
"32",155,58.2708057427456,52.1085467510605,48.3961463387803,49.0502285846001
"33",160,58.4432792550202,52.1511553289305,49.0662817598488,48.8949396750472
"34",165,58.6074202700394,53.1396963965048,48.9654736956739,48.8683642726247
"35",170,58.7630668004386,53.2339833675136,49.0176725043897,48.7444479939253
"36",175,58.9100652418837,52.9184770439945,48.8232426824618,48.8259252783143
"37",180,59.0482705246602,53.0281778606428,48.905281786183,48.8134480267822
"38",185,59.1775462568398,53.1975897969217,49.1210937747872,48.7339058462943
"39",190,59.2977648588825,53.259391273051,49.1619422803995,48.6828295258221
"40",195,59.4088076895423,53.782081076552,49.3316483331594,48.799907245204
"41",200,59.5105651629515,54.3430233741327,49.1421884510968,48.7029330628745
"42",205,59.6029368567694,53.7611054742934,49.3421690141947,48.7672208999918
"43",210,59.6858316112863,54.0388761930228,49.4618248849386,48.6039484495338
"44",215,59.7591676193875,53.7103076558455,49.649137673801,48.7483081184683
"45",220,59.8228725072869,53.711645941258,49.4843854324055,48.7495374388142
"46",225,59.8768834059514,54.2425211807253,49.5687743595287,48.6469136142413
"47",230,59.9211470131448,54.1909596317479,49.7114723890654,48.6856581498304
"48",235,59.9556196460308,54.901337444174,49.6143447572921,48.6732448123241
"49",240,59.9802672842827,55.0607865817831,49.9948708127297,48.691578078393
"50",245,59.9950656036573,54.85503438744,49.8339997308212,48.7980842226361
"51",250,60,54.6573205916466,49.9046451220158,48.6722737431018
"52",255,59.9950656036573,55.3711277251711,50.1160200861352,48.7831381191379
"53",260,59.9802672842827,54.3895664868655,50.0871297761711,48.6585259949915
"54",265,59.9556196460308,55.1757924245178,50.3153654749993,48.5581684810148
"55",270,59.9211470131448,54.9566609048284,50.3599076083982,48.732579490617
"56",275,59.8768834059514,55.1173048849977,50.3028650076993,48.9083716715876
"57",280,59.8228725072869,54.9930653303287,50.5886926976129,48.7993481048347
"58",285,59.7591676193875,55.300197750952,50.6970757686087,48.6888009834602
"59",290,59.6858316112863,55.7397595137143,50.5757357073283,48.7973335207806
"60",295,59.6029368567694,55.184942425244,50.6197827517122,48.9264841865426
"61",300,59.5105651629515,55.2568674638179,50.4487469090088,48.8498328595449
"62",305,59.4088076895423,54.782816399989,50.8823381184304,48.6210348457407
"63",310,59.2977648588825,55.3858064532225,50.9099854077935,48.8218632112781
"64",315,59.1775462568398,55.5117224306485,50.9565996936332,48.6583980293169
"65",320,59.0482705246602,55.588653794415,50.8705404476129,48.7592958003199
"66",325,58.9100652418837,55.5601034322685,50.6281523553626,48.8692056426377
"67",330,58.7630668004386,55.3541590708789,50.9523229182437,48.8547501096018
"68",335,58.6074202700394,55.0922810034995,50.9552015376269,49.0194757250881
"69",340,58.4432792550202,55.7318642787314,51.0876814430343,49.0506864563687
"70",345,58.2708057427456,55.512592315387,51.145145338433,48.9590170322345
"71",350,58.0901699437495,55.3704191110581,51.2040157563536,48.8779650401529
"72",355,57.9015501237569,55.4667594074756,51.4705091352218,48.9467686425085
"73",360,57.7051324277579,55.3754834101069,51.2573286287105,48.9447749822579
"74",365,57.5011106963046,55.2433955442469,51.3114333476395,49.1265708276067
"75",370,57.2896862742141,55.7422068329598,51.2001954740887,48.9545937343547
"76",375,57.0710678118655,55.4472253842759,51.6494963478363,49.114058652141
"77",380,56.8454710592869,55.3131600713953,51.5123412962139,49.0432074046894
"78",385,56.6131186532365,54.8374246525315,51.6096704115193,49.1167549003304
"79",390,56.3742398974869,54.9696741016898,51.7089605291522,49.0873321922468
"80",395,56.1290705365298,54.8668262724396,51.8492531636754,49.3628886984036
"81",400,55.8778525229247,54.4267408483346,51.5240934836169,49.13578869476
"82",405,55.6208337785213,54.5203269875471,51.6655273037652,49.3179316736831
"83",410,55.35826794979,54.9343993973125,51.8849504916485,49.4003089897699
"84",415,55.0904141575037,55.039266977049,51.8426953632224,49.3011660415856
"85",420,54.8175367410172,54.9798105659129,51.8045202566236,49.3931102347234
"86",425,54.5399049973955,54.1910836370958,51.9047892688001,49.3810458868727
"87",430,54.2577929156507,54.1359794190888,51.8306381573605,49.5264560741113
"88",435,53.9714789063478,53.9622493709209,52.0303094822022,49.4765799357782
"89",440,53.6812455268468,53.9750472236936,52.0081616787726,49.5481035077473
"90",445,53.3873792024529,53.6297332120238,51.8762850478618,49.6041460001834
"91",450,53.0901699437495,54.48849546461,51.8545368724927,49.601059954245
"92",455,52.7899110603923,53.9873971418692,52.2369770715436,49.741157248328
"93",460,52.4868988716485,53.1244119826938,51.9359494917822,49.7327673262512
"94",465,52.1814324139654,53.607402926148,52.0459510034966,49.7966498439141
"95",470,51.8738131458572,53.508840437854,51.964026420774,49.7063425130574
"96",475,51.5643446504023,53.3094126075267,51.9315512124992,49.8069416581003
"97",480,51.253332335643,52.7343339985698,52.1862299659064,49.8969817741794
"98",485,50.9410831331851,53.1497558543619,52.1846829051323,49.9563282070316
"99",490,50.6279051952931,53.1256227742629,52.1453337781189,49.9417415148724
"100",495,50.3141075907813,52.7757731040053,52.0264920156125,49.9224226061642
"101",500,50,52.9542397615459,52.0568206259245,49.9942714521634
"102",505,49.6858924092187,52.4717950568152,52.1958282517882,50.1485711026756
"103",510,49.3720948047069,52.0289563417653,52.3484630744169,50.1708180942642
